Pflanze;Pflanzenfamilie;"günstige Partner";"ungünstige Partner";Vorkultur / Nachkultur;"1. Aussaattiefe in cm /2. Keimtemperatur(optimal/minimum) in °C /3. Keimdauer in Tagen /4. Keimfähigkeit der Samen in Jahren";Bemerkungen
Buchweizen, Heidekorn (Fagopyrum esculentum);Knöterichgewächse;;;;;zu Sellerie gepflanzt, macht Buchweizen Kali aus dem Boden für Sellerie verfügbar
"Buschbohne siehe Gartenbohne";;;;;;
Chicorée (Cichorium intybus);Korbblütengewächse;Fenchel, Gartenbohnen, Kopfsalate, Möhren, Rote Bete, Tomaten, Zwiebeln;;;1,5 / (15-18/5,3) / - / 4-5;Mittel- Schwachzehrer
Chili (Capsicum annuum, Capsicum frutescens u. a.);Nachtschattengewächse;Kerbel, Senf;;;- / - / - / 4-5;Mittelwurzler, Bodengare fördernd
Chinakohl, Pekingkohl (Brassica rapa ssp. Chinensis);Kreuzblütengewächse;Endivien, Erbsen, Gartenbohnen, Gartenmelde, Kopfsalate, Möhren, Neuseeländer Spinat, Spinat;Brokkoli, Chinakohl, Grünkohl, Kartoffeln, Kohlrabi, Kopfkohl, Pak Choi, Porree, Radieschen, Rettiche, Rosenkohl;;1,5 / (15/-) / 4-6 / >6;Mittelzehrer, Mittelwurzler
"Dicke Bohnen (siehePuffbohnen)";;;;;;
Dill (Anethum gravolens);Doldenblütengewächse;Blumenkohl, Brokkoli, Erbsen, Gartenbohnen, Grünkohl, Gurken, Kartoffeln, Kohlrabi, Kopfkohl, Möhren, Porree, Rettiche, Rosenkohl, Salate, Spinat, Tomaten, Zuckermais, Zwiebeln;Fenchel, Petersilie;;1 / (10-15/-) / 10-14 / 2-3;Lichtkeimer, Bodengare belastend, in Mischkultur mit Sellerie gibt es widersprüchliche Informationen
Dinkel (Triticum aestivum ssp. Speltum);Süßgräser;;;;;
Duftpelargonie (…);;;;;;hält im Gewächshaus die weiße Fliege von Gemüse- und Zierpflanzen fern
Eberraute (Artemisia abrotanum);Korbblütengewächse;Aprikosen, Kohl;;;;soll den Kohlweißling bei Kohlgewächsen durch abwehrende Duftstoffe fernhalten
Emmer (Triticum turgidum ssp. Dicoccum var. Dicoccum);Süßgräser;;;;;
Einkorn (Triticum monococcum ssp. Monococcum);Süßgräser;;;;;
Eiskraut (…);;;Eiskrautgewäc hse;;;
"Endivien, Escsariol(Cichorium endivia)";Korbblütengewächse;Brokkoli, Fenchel, Gartenbohnen, Grünkohl, Kohlrabi, Kopfkohl, Möhren, Radieschen, Rettiche, Tomaten;Chicorée, Radicchio;Buschbohnen, Möhren, Zwiebeln;0,5–1,5 / (20/2,2) / 8-10 / 4-5;Mitelzehrer, Flachwurzler
Erbsen (Pal-, Mark- und Zuckererbsen) (Pisum Sativum);Schmetterlingsblütler;"Auberginen, Fenchel, Grünkohl, Gurken, Kohl, Kohlrabi, Möhren, Pfefferminze, Rettiche, Ringelblumen, Rosenkohl, Rote Bete,
Salate, Sellerie, Spinat, Zucchini, Zuckermais";Knoblauch, Meerrettich, Paprikas, Porree, Tomaten, Zwiebeln;- / Chinakohl, Endivien, Grünkohl, Rosenkoh;4-5 / (20/1,6-3,2) / 8-12 / 3-5;Schwachzehrer, Bodengare fördernd, in Mischkultur mit Gartenbohnen und Kartoffeln gibt es widersprüchliche Informationen
Erdbeeren (Fragaria x ananassa);Rosengewächse;Borretsch, Endivien, Feldsalat, Gartenbohnen, Gartenmelde, Knoblauch, Porree, Ringelblumen, Salate, Spinat, Studentenblum en, Zwiebeln;Brokkoli, Chinakohl, Grünkohl, Kohlrabi, Kopfkohl, Paprikas, Radieschen, Rettiche, Rosenkohl;;;"Knoblauch hat auf Erdbeeren eine bakterizide und fungizide Wirkung, Zwiebeln oder Schalotten sollen gegen Pilzkrankheiten und Spinnmilben schützen, Tagetes wirkt gegen Nematoden und Drahtwürmer,
erhöhen den Ernteertrag und fördern die Bodengesundheit"
"Erdbeerspinat (Blitum ssp.)";Gänsefußgewächse;;;;- / - / - / 4-6;Schwachzehrer, Licht fördert die Keimung (nur leicht mit Erde bedecken)
Erdmandel (Cyperus esculentus);Sauergräßer bzw. Binsengewächse;;;;- / - / - / <1;Vermehrung durch Wurzelknöllchen, die sehr empfindlich sind
Estragon (Artemisia drancunculus);Korbblütengewächse;Auberginen, Kartoffeln;Fenchel, Weinraute;;- / (18-25/12) / - / -;Lichtkeimer
Etagenzwiebel, Luftzwiebel, Johanniszwiebel (Allium x proliferum);Zwiebelgewächse;;;;;
"Feldsalat (Valerianella Iocusta)";Baldriangewächse;Barbarakresse, Endivien, Erdbeeren, Gartenbohnen, Kohlrabi, Kopfkohl, Porree, Radieschen, Ringelblumen, Spinat, Zwiebeln;Baldrian;;1-2 / (20/0) / 15-25 / 4-5;Schwachzehrer, Flachwurzler, Lichtkeimer
"Feigenblattkürbis (Cucurbita ficifolia)";Kürbisgewächse;;;;- / - / - / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd
Fenchel siehe Gemüse- bzw. Knollenfenchel oder Gewürz- bzw. Teefenchel;;;;;;
Feuerbohne, Prunkbohne, Käferbohne (Phaseolus coccineus);Schmetterlingsblütler;;;;5 / (18-25/8) / - / 4-5;Mittelwurzler, Bodengare fördernd
Gartenbohne (Buschbohnen, Stangenbohnen) (Phaseolus vulgaris);Schmetterlingsblütler;"Auberginen, Bohnenkraut, Dill, Endivien, Gurken, Kartoffeln, Kohlrabi, Kopfkohl, Mairüben, Mangold, Radieschen, Rettiche, Rhabarber, Rosmarin, Salate, Sellerie, Spinat,
Thymian";Brokkoli, Fenchel, Knoblauch, Meerrettich, Möhren, Porree, Sonnenblume n, Zwiebeln;"Buschbohnen: Kohlrabi, Möhren (frühe Sorten), Radieschen, Salate - Stangenbohne n: Möhren (frühe Sorten) / Buschbohnen: Endivien,
Feldsalat, Grünkohl - Stangenbohne n: Feldsalat";2-3 / (25/7,7) / 8-14 / 4-5;Mittel- Schwachzehrer, Mittelwurzler, Bodengare fördernd, in Mischkultur mit Erbsen, Erdbeeren und Grünkohl gibt es widersprüchliche Informationen
"Gartenkresse (Lepidium sativum)";;;;;- / (20/1) / 2 / 2->6;Lichtkeimer
Gartenmelde (…….);Gänsefußgewächse;;;;- / - / - / 2-3;Mittel- Schwachzehrer
"Gelber Senf, Weißer Senf (Sinapis alba)";Kreuzblütengewächse;;;;- / - / - / >6;
Gemüsefenchel, Knollenfenchel (Foeniculum vulgare);Doldenblütengewächse;Basilikum, Blumenkohl, Brokkoli, Chicorée, Endivien, Feldsalat, Grünkohl, Gurken, Kohl, Kopfsalat, Kürbisse, Neuseeländer Spinat, Porree, Radicchio, Rosenkohl, Spinat, Zucchini, Zuckerhutsalat;"Barbarakresse, Estragon, Gartenbohnen, Koriander,Kümmel, Puffbohnen,
Tomaten, Weinraute, Zitronenmeliss e";"Erbsen (frühe Sorten), Frühkartoffeln / Senf";0,5 / (22-30/6) / 12-16 / 2-5;Mittelzehrer, Bodengare belastend, in Mischkultur mit Erbsen und Kohlrabi gibt es widersprüchliche Informationen
Gemüsemalve (Malva verticillata);Malvengewächse;;;;- / - / - / 4-5;
Gerste (Hordeum vulgare);Süßgräser;;;;- / - / - / >6;
Gewürz- bzw. Teefenchel (…);Doldenblütengewächse;;;;0,5 / (22-30/6) / - / -;Bodengare belastend, Mehrjährig, wo es ihm gefällt da bleibt er mehrere Jahre stehen
Große Klette, Speiseklette (Arctium lappa);;;;;- / - / - / 4-5;
Grünkohl, Braunkohl, Krauskohl, Federkohl (Brassica oleracea var. Sabellica);Kreuzblütengewächse;Borretsch, Endivien, Erbsen, Gartenbohnen, Gurken, Kapuzinerkress e, Kohlrabi, Mangold, Petersilie, Pfefferminze, Radicchio, Radieschen, Rettiche, Rote Bete, Sellerie, Spinat, Tomaten, Zuckerhutsalat;Brokkoli, Chinakohl, Grünkohl, Kartoffeln, Knoblauch, Kopfkohl, Pak Choi, Porree, Rosenkohl, Zwiebeln;;1 / (15/-) / 4-5 / >6;Mittelwurzler, Salat und Spinat hält Erdflöhe fern, Sellerie und Tomaten hält Kohlweißlinge fern
Gurken (Cucumis sativus);Kürbisgewächse;Basilikum, Birnen, Blumenkohl, Borretsch, Brokkoli, Dill, Erbsen, Fenchel, Gartenbohnen, Grünkohl, Knoblauch, Kohlrabi, Kopfkohl, Kopfsalate, Liebstöckel, Meerrettich, Möhren, Petersilie, Pfefferminze, Puffbohnen, Rosenkohl, Rote Bete, Schwarzwurzel n, Sellerie, Spinat, Zuckermais, Zwiebeln;Kartoffeln, Majoran, Paprikas, Radieschen, Salbei, Thymian, Tomaten;Puffbohnen, Senf;2-3 / (25-28/12,7) / 4-8 / 4->6;Stark- bis Mittelzehrer, Mittelwurzler, Bodengare fördernd, in Mischkultur mit Rettichen gibt es widersprüchliche Informationen
Guter Heinrich (…….);Gänsefußgewächse;;;;- / - / - / 4-5;Mittel- Schwachzehrer
Hafer (Avena sativa);Süßgräser;;;;- / - / - / >6;"gegen schwarze Bohnenlaus bei Puffbohne"
Haferwurzeln (Tragopogon porrifolius);Korbblütengewächse;Möhren, Pastinaken, Sellerie;Äpfel, Artischocken, Chicorée, Endivien, Kopfsalate, Schwarzwurze ln;;- / - / - / 2-3;Mittelzehrer
Helmbohne, Hyazinthenbohne (Dolichos lablab);;;;;- / - / - / 4-5;Mittelwurzler
"Herbstrübe, Stielmus, Rübstiel, Stoppelrüber, Wasserrübe (Brassica rappa ssp. Rapa)";Kreuzblütengewächse;;;;1 / (18-22/3) / - / >6;
Himbeeren (Rubus idaeus);Rosengewächse;Knoblauch, Pflaumen, Ringelblumen, Weinraute;Kartoffeln;;;
"Hirschhornwegerich(…)";Wegerichgewächse;;;;;
"Hirse, Rispenhirse(Panicum miliaceum)";Süßgräser;;;;- / - / - / 4-5;
Johannisbeeren (Ribes rubrum, Ribes nigrum);Stachelbeergewächse;Wermut, Apfelbaum;;;;Wermut schützt vor Säulenrost
Johanniskraut (…);Hartheugewächse;;;;;
Kalebasse, Flaschenkürbis (Lagenaria siceraria);Kürbisgewächse;;;;- / - / - / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd
Kamille (Matricaria chamomilla);Korbblütengewächse;Blumenkohl, Brokkoli, Erbsen, Grünkohl, Kartoffeln, Kohlrabi, Kopfkohl, Pfefferminze, Zwiebeln;Weinraute;;- / (16-25/3) / - / 2-3;Lichtkeimer
Kapuzinerkresse (…);Kapuzinerkressengewächs e;Kartoffeln, Paprikas, Tomaten, Zucchini;;;2 / (18-25/15) / 2 / -;"gegen Läuse, fördert die allgemeine Gesundung von Jungbäumen"
"Kardone, Cardy(Cynara cardunculus)";Korbblütengewächse;;;;- / - / - / 4-5;
Karotte siehe Möhre;;;;;;
"Kartoffel, Erdapfel (Solanum tuberosum)";Nachtschattengewächse;"Auberginen, Baldrian, Bohnenkraut, Dill, Erbsen, Erdbeeren, Estragon, Fingerhut, Gartenbohnen, Kapuzinerkress e, Lavendel, Meerrettich, Petersilie, Pfefferminze, Puffbohnen, Ringelblumen, Spinat, Tagetes, Zitronenmelisse, Zuckermais";Äpfel, Aprikosen, Brokkoli, Chinakohl, Gartenmelde, Grünkohl, Gurken, Himbeeren, Knoblauch, Kürbisse, Pak Choi, Rosenkohl, Rote Bete, Sommerportul ak, Sonnenblume n, Tomaten, Zucchini, Zwiebeln;"Hülsenfrüchte / Gemüsefench el, Grünkohl, Rosenkohl, Winterportulak , Winterroggen, Voderlsalat
oder andere Gemüse mit kurzer Kulturdauer";- / - / - / <1;"Starkzehrer, Flachwurzler, Bodengare fördernd, in Mischkultur mit Kohlrabi, Kopfkohl und Sellerie gibt es widersprüchliche Informationen, Anbau mit Erbsen oder Meerrettich sollen den Kartoffelkäfer fernhalten, Meerrettich vertreibt Kartoffelkäfer und Drahtwürmer und beugt der Kräuselkrankheit vor, Ringelblumen und/oder Tagetes wirken gegen Nematoden und Drahtwürmer, erhöhen den Ernteertrag und fördern die Bodengesundheit, Phacelia in der Nähe (aber nicht zu eng) soll Kartoffelkäfer fernhalten"
Kerbel (Anthriscus cerefolium ssp. cerefolium);Doldenblütengewächse;Kamille, Knoblauch, Kohl, Kopfsalate, Puffbohnen, Rettiche, Rote Bete, Zwiebeln;Weinraute;;- / (18-25/6) / - / 3-4;"Bodengare belastend, Lichtkeimer, soll Läuse bei Salat fernhalten"
Kerbelrübe (…);Doldenblütengewächse;;;;- / - / - / <1;Bodengare, belastend, Frostkeimer
Kichererbsen (Cicer arietinum);Schmetterlingsblütler;;;;- / - / - / 4-5;Schwachzehrer, Mittelwurzler, Bodengare fördernd
Kirschen (Prunus cerasus, Prunus avium);Rosengewächse;;Pflaumen;;- / - / - / -;Meerrettich unter Kirschen gepflanzt soll gegen Kräuselkrankheit und Monilia wirken
"Klee (Rot-, Weiß- und Inkarnatklee) (…)";Schmetterlingsblütler;;;;- / - / - / -;Bodengare fördernd Knoblauch (Allium sativum);Liliengewächse;Äpfel, Birnen, Brombeeren, Erdbeeren, Gurken, Himbeeren, Johannisbeere n, Kapuzinerkress e, Kerbel, Kopfsalate, Möhren, Pfirsiche, Pflaumen, Ringelblumen, Rote Bete, Stachelbeeren, Tomaten;"Artischocken, Auberginen, Brokkoli, Chinakohl, Erbsen, Gartenbohnen , Grünkohl, Knoblauch, Kohlrabi, Kopfkohl, Majoran, Pak Choi, Portulak, Rosenkohl, Schnittlauch, Spargel";Erbsen, Puffbohnen, Stangenbohne n;- / - / - / <1;Mittelzehrer, bakterizide und fungizide Wirkung bei Rosen und Erdbeeren, in Mischkultur mit Zwiebeln gibt es widersprüchliche Informationen, Vermehrung durch Knoblauchzehen
Knollenziest (Stachys officinalis);Lippenblütengewächse;;;;- / - / - / -;"Mittelzehrer, nur vegetative Vermehrung"
Kohlrabi (Brassica oleracea var. gongylodes);Kreuzblütengewächse;"Borretsch, Dill, Eberraute, Erbsen, Feldsalat, Gartenmelde, Gurken, Kamille, Kapuzinerkress e, Kartoffeln, Kopfsalat, Kümmel, Pfefferminze, Porree, Puffbohnen,Rosmarin, Rote Bete, Salate, Salbei,Schwarzwurzel n, Sellerie, Spinat, Tomaten,Thymian, Wermut, Ysop, Zwiebeln";Brokkoli, Chinakohl, Erdbeeren, Fenchel, Grünkohl, Kohlrabi, Kopfkohl, Pak Choi, Rosenkohl, Senf;Radieschen, Salate, Spinat / Chinakohl, Feldsalat, Winterrettich;1 / (20/1,9) / 8-10 / >6;"Mittelzehrer, Mittelwurzler, Dill in der Nähe halt durch die Duftstoffe Schädlinge ab, Salat und Spinat hält Erdflöhe fern; Eberraute, Pfefferminze, Rosmarin, Sellerie, Salbei und Tomaten hält Kohlweißlinge fern, in Mischkultur mit Gartenbohnen, Paprikas, Radieschen, rettiche, Spinat und Tomaten gibt es widersprüchliche Informationen, Ringelblumen und/oder Tagetes wirken gegen Nematoden und Drahtwürmer, erhöhen den Ernteertrag und fördern die Bodengesundheit"
Kohlrübe, Steckrübe, Wruke, Bodenkohlrabi (Brassica napus ssp. Rapifera);Kreuzblütengewächse;Borretsch;;;1 / (18-25/8) / - / >6;Mittelzehrer, Mittelwurzler
Kolbenhirse, Vogelhirse, Borstenhirse (Setaria italica);Süßgräser;;;;- / - / - / 4-5;
Kopfkohl, Weißkohl, Rotkohl (Brassica oleraces var. capitata);Kreuzblütengewächse;"Borretsch, Dill, Eberraute, Endivien, Erbsen, Feldsalat, Fenchel, Gartenmelde, Gurken, Kamille, Kerbel, Kürbisse, Lavendel, Majoran, Mangold,Meerrettich, Möhren, Oregano, Pfefferminze,Porree, Puffbohnen, Rhabarber, Rosmarin,Salate, Salbei, Schnittlauch, Sellerie, Spargel, Thymian, Tomaten, Wermut, Ysop";Brokkoli, Chinakohl, Erdbeeren, Grünkohl, Knoblauch, Kohlrabi, Kopfkohl, Pak Choi, Rettiche, Rosenkohl, Senf, Wein, Zwiebeln;Erbsen und andere Leguminosen, Radieschen, Spinat, Stangenselleri e / Feldsalat, Phacelia, Spina;1 / (20/1,9) / 5-6 / 4-6;"Starkzehrer, Mittelwurzler, Dill in der Nähe halt durch die Duftstoffe Schädlinge ab, Salat hält Erdflöhe fern; Eberraute, Pfefferminze, Rosmarin, Sellerie, Salbei und Tomaten hält Kohlweißlinge fern, in Mischkultur mit Gartenbohnen, Kartoffeln, Kopfsalat, Paprikas, Radieschen, Rettiche, Rote Bete, Spinat und Tomaten gibt es widersprüchliche Informationen, Eberraute soll ebenfalls den Kohlweißling durch abwehrende Duftstoffe fernhalten, Ringelblumen und/oder Tagetes wirken gegen Nematoden und Drahtwürmer, erhöhen den Ernteertrag und fördern die Bodengesundheit"
"Koriander(Coriandrum sativum)";Doldenblütengewächse;Anis, Rettiche, Spinat;Fenchel;;1-2 / - / - / 2-3;Bodengare belastend, Anbaupause von mindestens 4 Jahren einhalten
Kresse  siehe Brunnenkresse, Gartenkresse, Kapuzinerkresse;Kreuzblütengewächse;;;;- / - / 2 /-;Schwachzehrer
Kümmel (Carum carvi);Doldenblütengewächse;Blumenkohl, Erbsen, Kohlrabi, Rosenkohl;Fenchel, Tomaten;;- / (18-25/6) / - / 3-4;Bodengare belastend, Lichtkeimer
Lauch siehe Porree;;;;;- / - / - / -;
Lavendel (Lavandula angustifolia);Lippenblütengewächse;Kartoffeln, Kohl, Majoran, Thymian;Kopfsalate, Petersilie, Rettiche;;0,5 / (20-25/16) / - /2-3;"Lichtkeimer, Lavendel in der Nähe von Rosen hält Ameisen und bedingt Läuse fern" 
Lein, Flachs (Linum, usitatissimum);Leingewächse;;;;- / - / - / 2-5;
Liebstöckel (…);Doldenblütengewächse;;;;3 / (18-25/6) / - / 1-2;Bodengare belastend
Linsen (Lens culinaris);Schmetterlingsblütler;;;;- / - / - / 4-5;Schwachzehrer, Bodengare fördernd
Löffelkraut, Löffelkresse (Coechlearia officinalis); Kreuzblütengewächse;;;;- / - / - / -;Schwachzehrer
Löwenzahn (…);Korbblütengewächse;;;;- / - / - / -;
Lupine (…);Schmetterlingsblütler;;;;- / - / - / -;Bodengare fördernd
Mairüben (Brassica rapa var. rapa);Kreuzblütengewächse;Erbsen, Gartenbohnen, Kopfsalate, Mangold, Petersilie, Sellerie, Spinat, Tomaten;;;1 / (18-22/3) / - / -;Mittelzehrer
"Mais siehe Zuckermais";;;;;- / - / - / -;
Majoran (Origanum majorana);Lippenblütengewächse;Gartenbohnen, Kartoffeln, Kohl, Lavendel;Gurken, Knoblauch, Porree, Zwiebeln;;- / (18-25/12) / - / 2-3;Lichtkeimer
"Malabarspinat(Basella alba)";Basellgewächse;;;;- / - / - / 4-5;
Mandeln (…);Rosengewächse;;;;- / - / - / -;
Mangold (Beta vulgaris ssp. cicla);Gänsefußgewächse;Basilikum, Gartenbohnen, Kohl, Kohlrabi, Mairüben, Möhren, Radieschen, Rettiche, Salate;Gartenmelde, Rote Bete, Spinat;"Leguminosen(Gründüngung), Senf / Feldsalat, Senf,Winterrogge";2-3 / (15/-) / 8-12 / 3->6;Mittelzehrer, Tiefwurzler, Voranzucht und versetzen ohne erdigen Wurzelballen lohnt nicht, da sich die nackten Pflanzen nur langsam erholen
"Markerbse siehe Erbse";;;;;- / - / - / -;
"Markstammkohl (B. o. Ssp. o.convar.acephala var. Medullosa)"; Kreuzblütengewächse;;;;- / - / - / >6;Mittelwurzler
Meerkohl (Crambe maritima);;;;;- / - / - / 2-3;Mittelwurzler
"Meerrettich, Kren (Armoracia rusticana)";Kreuzblütengewächse;"Äpfel, Gurken, Kartoffeln, Kohl, Pflaumen, Spinat, Thymian";"Artischocken, Erbsen, Gartenbohnen , Knoblauch, Zwiebeln";;- / - / - / -;nur vegetative Vermehrung durch sogenannte Fechser, unter Pfirsich oder Kirsche gepflanzt soll Meerrettich gegen Kräuselkrankheit und Monilia wirken
"Melisse (siehe Zitronenmelisse)";;;;;;
"Melone (siehe Wassermelone)";;;;;;
Minze, Krause Minze, Pfefferminze, Zitronenminze (Mentha-Arten);Lippenblütengewächse;Äpfel, Birnen, Blumenkohl, Brokkoli, Erbsen, Kartoffeln, Kohlrabi, Rosenkohl, Tomaten, Walnüsse;;;- / (18-25/16) / - / 2-5;Lichtkeimer, hilft gegen Mehltau bei Wein, Pfefferminze soll Kohlweißling vom Kohl fernhalten
Mizuna (Brassica rapa ssp. Nipposinica);Kreuzblütengewächse;;;;- / - / - / >6;
Mondbohne, Limabohne (Phaseolus lunatus);Schmetterlingsblütler;;;;- / - / - / 4-5;Mittelwurzler, Bodengare fördernd 
"Moschuskürbis (Cucurbita moschata)";Kürbisgewächse;;;;- / - / - / 4-5;Starkzehrer, Tiefwurzler, Bodengare fördernd
Möhren (Daucus carota);Doldenblütengewächse;Dill, Endivien, Erbsen, Gurken, Knoblauch, Kohl, Kohlrabi, Kohlrüben, Koriander, Knoblauch, Mangold, Porree, Portulak, Puffbohnen, Radieschen, Rettiche, Rosmarin, Salate, Salbei, Schnittlauch, Schwarzwurzel n, Spinat, Tomaten, Wermut, Zwiebeln;Anis, Petersilie, Rote Bete;Winterporree / Buschbohnen (späte Sorten), Endivien, Herbstrüben, Petersili;2-3 / (22-25/3) / 21-28 / 2-4;"Mittel-, bis Schwachzehrer, Mittelwurzler, Bodengare bealstend, Dill in der Nähe halt durch die Duftstoffe Schädlinge ab und soll die Keimfähigkeit der Möhrensamen fördern, Rosmarin oder Koriander soll Möhrenfliegen fernhalten, Rote Bete in der Nähe soll Fäulniserreger fernhalten, in Mischkultur mit Sellerie gibt es widersprüchliche Informationen, Zwiebeln oder Schalotten sollen gegen Pilzkrankheiten und Spinnmilben und bedingt gegen Möhrenfliegen schützen"
